CodeInsee,Name,Longitude,Latitude,Id
13028,LACIOTAT,43.19264109,5.613189558,395
84151,VITROLLES-EN-LUBERON,43.8137921,5.598999464,396
4201,SAUMANE,44.08128085,5.682146022,397
6001,AIGLUN,43.8524188,6.934942333,398
84102,ROUSSILLON,43.90128169,5.292018857,399
5175,VALLOUISE,44.83082805,6.411970143,400
84134,TRAVAILLAN,44.18945001,4.908561494,401
4027,BEVONS,44.17799648,5.878959287,402
5032,CHAMPOLEON,44.7457461,6.273122099,403
13108,TARASCON,43.79398853,4.686148492,404
84048,GIGNAC,43.92851099,5.523087164,405
83048,LACROIX-VALMER,43.19518907,6.58628136,406
5039,CHAUFFAYER,44.75815014,6.01187494,407
4126,MONTCLAR,44.40161384,6.341128052,408
4094,GREOUX-LES-BAINS,43.76761028,5.864950462,409
5044,CREVOUX,44.53760654,6.624703727,410
83042,COGOLIN,43.24645505,6.521922341,411
4229,VALBELLE,44.13712077,5.876276698,412
4072,DRAIX,44.12993915,6.371799776,413
84034,CAUMONT-SUR-DURANCE,43.89135805,4.956330773,414
4169,LAROCHEGIRON,44.10941839,5.663813974,415
6135,SIGALE,43.87579991,6.965586181,416
6113,SAINTE-AGNES,43.80553446,7.46128497,417
84061,LAGARDE-PAREOL,44.22721545,4.851094278,418
13201,MARSEILLE--1ER-ARRONDISSEMENT,43.29990094,5.382278698,419
5152,SAINT-MAURICE-EN-VALGODEMARD,44.79818638,6.112788002,420
84125,SAVOILLAN,44.17444464,5.372838028,421
83012,BARJOLS,43.55238794,5.987770496,422
4067,CUREL,44.17660551,5.672674647,423
5048,L'EPINE,44.42487965,5.61094352,424
84091,PIOLENC,44.17746971,4.765852891,425
4107,MAJASTRES,43.89807803,6.283691346,426
5034,CHATEAUNEUF-DE-CHABRE,44.28688561,5.79561242,427
84094,PUYMERAS,44.28495171,5.135909338,428
4137,NIBLES,44.28925418,6.008726217,429
4158,QUINSON,43.70806249,6.022694923,430
5017,LABATIE-NEUVE,44.57975663,6.212679835,431
13072,PEYNIER,43.43968641,5.62516789,432
83148,VIDAUBAN,43.40150463,6.449084855,433
84116,SAINT-ROMAIN-EN-VIENNOIS,44.26182772,5.101650309,434
84039,COURTHEZON,44.0865791,4.881633421,435
4220,LESTHUILES,44.39035846,6.561355974,436
83041,CLAVIERS,43.59883618,6.585699086,437
5058,FREISSINIERES,44.73649218,6.459377041,438
84022,BUISSON,44.27618461,5.001808622,439
13043,GIGNAC-LA-NERTHE,43.39050741,5.228347529,440
84110,SAINT-LEGER-DU-VENTOUX,44.20594768,5.27072625,441
83054,LAFARLEDE,43.1615363,6.042753255,442
5172,TRESCLEOUX,44.35495087,5.718257302,443
4206,SIGONCE,44.00452276,5.856583156,444
6002,AMIRAT,43.89629735,6.812559505,445
6128,SAINT-PAUL-DE-VENCE,43.69501903,7.121169519,446
4132,MONTSALIER,44.02995258,5.595741738,447
4195,SAINT-PONS,44.41727132,6.615074249,448
4001,AIGLUN,44.06387446,6.138428453,449
84035,CAVAILLON,43.85083618,5.036063009,450
4093,GIGORS,44.42399944,6.140973063,451
84064,LAPALUD,44.30654289,4.67951576,452
4231,VALERNES,44.25155897,5.969547642,453
4043,VAL-DE-CHALVAGNE,43.90463743,6.765785202,454
83039,CHATEAUVERT,43.50126295,6.011205163,455
6080,MARIE,44.03460771,7.157446532,456
5142,SAINT-FIRMIN,44.79348581,6.025710581,457
4121,MEZEL,43.99808634,6.178798923,458
13063,MIRAMAS,43.58421341,5.013843486,459
5074,LETTRET,44.481164,6.072584528,460
83109,LAROQUE-ESCLAPON,43.72138729,6.648180874,461
83095,PONTEVES,43.55077455,6.062920473,462
6118,SAINT-CEZAIRE-SUR-SIAGNE,43.65942591,6.803293762,463
84092,LEPONTET,43.96839035,4.865495908,464
6011,BEAULIEU-SUR-MER,43.70790394,7.332569349,465
5113,RAMBAUD,44.54682279,6.131666135,466
13049,LAMANON,43.70475781,5.08862704,467
5112,RABOU,44.60614613,6.010779289,468
5063,LAGRAVE,45.06011024,6.284069776,469
13102,SAINT-VICTORET,43.41423788,5.253987008,470
6027,CAGNES-SUR-MER,43.67151621,7.152757034,471
5003,AIGUILLES,44.77934429,6.875180982,472
6048,CONTES,43.80929593,7.324245116,473
84011,LEBEAUCET,43.97402679,5.131297762,474
6142,TOUET-DE-L'ESCARENE,43.85203432,7.377992104,475
4074,ENTRAGES,44.03793327,6.26880026,476
5011,AVANCON,44.53394753,6.191163901,477
4160,REILLANNE,43.88613622,5.659354153,478
84124,SAUMANE-DE-VAUCLUSE,43.93803575,5.112084998,479
83051,ENTRECASTEAUX,43.51196224,6.234751089,480
13205,MARSEILLE--5E--ARRONDISSEMENT,43.2928062,5.397577096,481
6053,DALUIS,44.03872445,6.799970958,482
6160,VILLENEUVE-D'ENTRAUNES,44.12214163,6.781905152,483
4051,CHATEAUNEUF-MIRAVAIL,44.15331521,5.717572625,484
13021,CARRY-LE-ROUET,43.3427663,5.153737658,485
4087,FONTIENNE,44.00686342,5.793825011,486
4218,THORAME-BASSE,44.10719292,6.489313254,487
13119,CARNOUX-EN-PROVENCE,43.25848516,5.565814312,488
83072,LORGUES,43.48146303,6.358927449,489
13038,FONTVIEILLE,43.72326107,4.723101689,490
4230,VALENSOLE,43.83808449,5.941918472,491
83083,MONTFORT-SUR-ARGENS,43.48125366,6.125607672,492
